Date,Confirmed,Recovered,Deaths,Region
2020-03-28T14:03:46.335Z,204,15,1,Казахстан
2020-03-28T14:03:46.335Z,117,13,1,Нур-Султан
2020-03-28T14:03:46.335Z,58,2,0,Алматы
2020-03-28T14:03:46.335Z,2,0,0,Шымкент
2020-03-28T14:03:46.335Z,5,0,0,Акмолинская область
2020-03-28T14:03:46.335Z,4,0,0,Алматинская область
2020-03-28T14:03:46.335Z,4,0,0,Атырауская область
2020-03-28T14:03:46.335Z,1,0,0,Актюбинская область
2020-03-28T14:03:46.335Z,3,0,0,Жамбылская область
2020-03-28T14:03:46.335Z,1,0,0,Павлодарская область
2020-03-28T14:03:46.335Z,1,0,0,Северо-Казахстанская область
2020-03-28T14:03:46.335Z,1,0,0,Мангистауская область
2020-03-28T14:03:46.335Z,2,0,0,Восточно-Казахстанская область
2020-03-28T14:03:46.335Z,0,0,0,Западно-Казахстанская область
2020-03-28T14:03:46.335Z,4,0,0,Карагандинская область
2020-03-28T14:03:46.335Z,0,0,0,Костанайская область
2020-03-28T14:03:46.335Z,1,0,0,Кызылординская область
2020-03-28T14:03:46.335Z,0,0,0,Туркестанская область
2020-03-28T15:04:01.921Z,208,15,1,Казахстан
2020-03-28T15:04:01.921Z,117,13,1,Нур-Султан
2020-03-28T15:04:01.921Z,58,2,0,Алматы
2020-03-28T15:04:01.921Z,2,0,0,Шымкент
2020-03-28T15:04:01.921Z,5,0,0,Акмолинская область
2020-03-28T15:04:01.921Z,4,0,0,Алматинская область
2020-03-28T15:04:01.921Z,5,0,0,Атырауская область
2020-03-28T15:04:01.921Z,1,0,0,Актюбинская область
2020-03-28T15:04:01.921Z,3,0,0,Жамбылская область
2020-03-28T15:04:01.921Z,1,0,0,Павлодарская область
2020-03-28T15:04:01.921Z,1,0,0,Северо-Казахстанская область
2020-03-28T15:04:01.921Z,1,0,0,Мангистауская область
2020-03-28T15:04:01.921Z,2,0,0,Восточно-Казахстанская область
2020-03-28T15:04:01.921Z,0,0,0,Западно-Казахстанская область
2020-03-28T15:04:01.921Z,7,0,0,Карагандинская область
2020-03-28T15:04:01.921Z,0,0,0,Костанайская область
2020-03-28T15:04:01.921Z,1,0,0,Кызылординская область
2020-03-28T15:04:01.921Z,0,0,0,Туркестанская область
2020-03-28T16:03:54.341Z,228,16,1,Казахстан
2020-03-28T16:03:54.341Z,135,13,1,Нур-Султан
2020-03-28T16:03:54.341Z,59,3,0,Алматы
2020-03-28T16:03:54.341Z,2,0,0,Шымкент
2020-03-28T16:03:54.341Z,6,0,0,Акмолинская область
2020-03-28T16:03:54.341Z,4,0,0,Алматинская область
2020-03-28T16:03:54.341Z,5,0,0,Атырауская область
2020-03-28T16:03:54.341Z,1,0,0,Актюбинская область
2020-03-28T16:03:54.341Z,3,0,0,Жамбылская область
2020-03-28T16:03:54.341Z,1,0,0,Павлодарская область
2020-03-28T16:03:54.341Z,1,0,0,Северо-Казахстанская область
2020-03-28T16:03:54.341Z,1,0,0,Мангистауская область
2020-03-28T16:03:54.341Z,2,0,0,Восточно-Казахстанская область
2020-03-28T16:03:54.341Z,0,0,0,Западно-Казахстанская область
2020-03-28T16:03:54.341Z,7,0,0,Карагандинская область
2020-03-28T16:03:54.341Z,0,0,0,Костанайская область
2020-03-28T16:03:54.341Z,1,0,0,Кызылординская область
2020-03-28T16:03:54.341Z,0,0,0,Туркестанская область
2020-03-28T17:04:00.413Z,228,18,1,Казахстан
2020-03-28T17:04:00.413Z,135,13,1,Нур-Султан
2020-03-28T17:04:00.413Z,59,5,0,Алматы
2020-03-28T17:04:00.413Z,2,0,0,Шымкент
2020-03-28T17:04:00.413Z,6,0,0,Акмолинская область
2020-03-28T17:04:00.413Z,4,0,0,Алматинская область
2020-03-28T17:04:00.413Z,5,0,0,Атырауская область
2020-03-28T17:04:00.413Z,1,0,0,Актюбинская область
2020-03-28T17:04:00.413Z,3,0,0,Жамбылская область
2020-03-28T17:04:00.413Z,1,0,0,Павлодарская область
2020-03-28T17:04:00.413Z,1,0,0,Северо-Казахстанская область
2020-03-28T17:04:00.413Z,1,0,0,Мангистауская область
2020-03-28T17:04:00.413Z,2,0,0,Восточно-Казахстанская область
2020-03-28T17:04:00.413Z,0,0,0,Западно-Казахстанская область
2020-03-28T17:04:00.413Z,7,0,0,Карагандинская область
2020-03-28T17:04:00.413Z,0,0,0,Костанайская область
2020-03-28T17:04:00.413Z,1,0,0,Кызылординская область
2020-03-28T17:04:00.413Z,0,0,0,Туркестанская область
2020-03-28T18:04:05.042Z,228,18,1,Казахстан
2020-03-28T18:04:05.042Z,135,13,1,Нур-Султан
